Name,Price,Color,Image,Link
PRINTED VISCOSE SHIRT (PRET),"PKR 1,625",multi,https://beechtree.pk/cdn/shop/files/BT125001DP2005.jpg?v=1746042293&width=934,https://beechtree.pk//products/bt125001dp2005-multi
BASIC YARN DYED DRESS (PRET),"PKR 2,495",grey,https://beechtree.pk/cdn/shop/files/BT1250004PR0231_6.jpg?v=1746042429&width=934,https://beechtree.pk//products/bt1250004pr0231-grey
BASIC JACQUARD TOP (PRET),"PKR 2,125",purple,https://beechtree.pk/cdn/shop/files/BT1250004FU1015_1.jpg?v=1746042434&width=934,https://beechtree.pk//products/bt1250004fu1015-purple
2 PIECE EMBROIDERED TWO TONE SUIT (PRET),"PKR 3,995",red,https://beechtree.pk/cdn/shop/files/BT1250001PR0076_1_4baeee19-3e92-4bcc-99b3-62369f29248a.jpg?v=1746042443&width=934,https://beechtree.pk//products/bt1250001pr0076-red
2 PIECE EMBROIDERED TWO TONE SUIT (PRET),"PKR 3,675",blue,https://beechtree.pk/cdn/shop/files/BT1250001PR0075_3.jpg?v=1746042446&width=934,https://beechtree.pk//products/bt1250001pr0075-blue
2 PIECE BASIC JACQUARD SUIT (PRET),"PKR 2,995",blue,https://beechtree.pk/cdn/shop/files/BT1250001PR0046_1.jpg?v=1746042448&width=934,https://beechtree.pk//products/bt1250001pr0046-sky-blue
BASIC JACQUARD SHIRT (PRET),"PKR 2,725",green,https://beechtree.pk/cdn/shop/files/BT1250001PR0045_1.jpg?v=1746042449&width=934,https://beechtree.pk//products/bt1250001pr0045-green
BASIC JACQUARD SHIRT (PRET),"PKR 2,125",white,https://beechtree.pk/cdn/shop/files/BT1250001PR0043_1.jpg?v=1746042453&width=934,https://beechtree.pk//products/bt1250001pr0043-o-white
EMBROIDERED JACQUARD SHIRT (PRET),"PKR 2,675",mustard,https://beechtree.pk/cdn/shop/files/BT1250001PR0041_1.jpg?v=1746042456&width=934,https://beechtree.pk//products/bt1250001pr0041-mustard
2 PIECE BASIC JACQUARD SUIT (PRET),"PKR 3,125",blue,https://beechtree.pk/cdn/shop/files/BT1250001PR0039_1.jpg?v=1746042459&width=934,https://beechtree.pk//products/bt1250001pr0039-blue
