Name,Price,Color,Image,Link
EMBROIDERED COORD SET,"PKR 5,215",lavender,https://beechtree.pk/cdn/shop/files/BT1250001AB4059_1.jpg?v=1746041784&width=934,https://beechtree.pk//products/bt1250001ab4059-lavender
LONG SHIRT DRESS,"PKR 4,193",pnk,https://beechtree.pk/cdn/shop/files/bt1250001ab4038.jpg?v=1746041785&width=934,https://beechtree.pk//products/bt1250001ab4038-baby-pnk
BUTTON-THROUGH SHIRT,"PKR 2,394",biege,https://beechtree.pk/cdn/shop/files/bt1250001ab4029_1_1cd36f1c-e2ce-4f08-a9f1-f43b3f6ed9b1.jpg?v=1746805410&width=934,https://beechtree.pk//products/bt1250001ab4029-biege
STRAIGHT TROUSER,"PKR 3,143",white,https://beechtree.pk/cdn/shop/files/BT1250001AB4020.jpg?v=1746041914&width=934,https://beechtree.pk//products/bt1250001ab4020-white
EMBROIDERED RAGLAN BLOUSE,"PKR 2,550",grey,https://beechtree.pk/cdn/shop/files/bt1250001ab4186_1_557ba197-5b87-4704-a8cb-d1fb099b1a01.jpg?v=1746805411&width=934,https://beechtree.pk//products/bt1250001ab4186-grey
BUTTON-THROUGH SHIRT,"PKR 2,793",grn,https://beechtree.pk/cdn/shop/files/BT1250001AB4051_2.jpg?v=1746041917&width=934,https://beechtree.pk//products/bt1250001ab4051-olv-grn
FLORAL PRINT TIER DRESS,"PKR 4,194",purple,https://beechtree.pk/cdn/shop/files/BT1250001AB4043.jpg?v=1746805417&width=934,https://beechtree.pk//products/bt1250001ab4043-purple
CREW NECK TOP,"PKR 2,394",golden,https://beechtree.pk/cdn/shop/files/BT1250001AB4039_1.jpg?v=1746805419&width=934,https://beechtree.pk//products/bt1250001ab4039-golden
EMBROIDERED COORD SET,"PKR 4,794",cream,https://beechtree.pk/cdn/shop/files/BT1250001AB4021_3.jpg?v=1746805420&width=934,https://beechtree.pk//products/bt1250001ab4021-cream
EMBROIDERED BUTTON-THROGH SHIRT,"PKR 2,994",lavender,https://beechtree.pk/cdn/shop/files/BT1250001AB4054_1.jpg?v=1746805422&width=934,https://beechtree.pk//products/bt1250001ab4054-lavender
RAGLAN T-SHIRT,"PKR 1,499",blck,https://beechtree.pk/cdn/shop/files/BT1250001AB4002_1.jpg?v=1746805423&width=934,https://beechtree.pk//products/bt1250001ab4002-jet-blck
WIDE LEG JEANS,"PKR 3,499",blue,https://beechtree.pk/cdn/shop/files/BT1250001AB4061_1.jpg?v=1746041989&width=934,https://beechtree.pk//products/bt1250001ab4061-blue
EMBROIDERED WOVEN TOPS (WESTERN),"PKR 2,994",beige,https://beechtree.pk/cdn/shop/files/Layer1_7a669f15-3d70-46ea-9202-f8792c5727af.jpg?v=1746805435&width=934,https://beechtree.pk//products/bt1250001ab4023-dk-beige
BUTTON-DOWN SHIRT,"PKR 2,394",blue,https://beechtree.pk/cdn/shop/files/BT1250001AB4040A_1.jpg?v=1746805436&width=934,https://beechtree.pk//products/bt1250001ab4040a-blue
BASIC WOVEN TOPS (WESTERN),"PKR 2,394",white,https://beechtree.pk/cdn/shop/files/bt1250001ab4040_3.jpg?v=1746805437&width=934,https://beechtree.pk//products/bt1250001ab4040-white
EMBROIDERED WIDE LEG TROUSER,"PKR 2,793",white,https://beechtree.pk/cdn/shop/files/BT1250001AB4047_1_f0c89454-ef91-4ec5-ba26-c9e78e4c57fc.jpg?v=1746042031&width=934,https://beechtree.pk//products/bt1250001ab4047p-o-white
MOM JEANS,"PKR 3,149",blue,https://beechtree.pk/cdn/shop/files/BT1250001AB4066_1.jpg?v=1746042069&width=934,https://beechtree.pk//products/bt1250001ab4066-blue
