Name,Price,Color,Image,Link
"3 Piece Printed Maysuri Lawn Suit With Printed Maysuri Lawn Dupatta
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 4,990",Beige and Purple,https://www.alkaramstudio.com/cdn/shop/files/MC-05-25-1-BEIGE_PURPLE-1_1bafbfb5-517a-4996-a07d-b76714377ac5.jpg?v=1744970193,https://www.alkaramstudio.com/products/3-piece-printed-maysuri-lawn-suit-with-printed-maysuri-lawn-dupatta-mc-05-25-1-beige-and-purple
"3 Piece Printed Maysuri Lawn Suit With Printed Maysuri Lawn Dupatta
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 4,990",Mint,https://www.alkaramstudio.com/cdn/shop/files/MC-04-25-1-MINT-1_fa9e298b-289b-492c-8a07-2c2ecdb5437c.jpg?v=1744970182,https://www.alkaramstudio.com/products/3-piece-printed-maysuri-lawn-suit-with-printed-maysuri-lawn-dupatta-mc-04-25-1-mint
"3 Piece Printed Maysuri Lawn Suit With Printed Maysuri Lawn Dupatta
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 4,990",Light Blue,https://www.alkaramstudio.com/cdn/shop/files/MC-03-25-1-LIGHT_BLUE-1_71cf9124-6228-4508-bafa-4cce85985626.jpg?v=1744970173,https://www.alkaramstudio.com/products/3-piece-printed-maysuri-lawn-suit-with-printed-maysuri-lawn-dupatta-mc-03-25-1-light-blue
"3 Piece Printed Maysuri Lawn Suit With Printed Maysuri Lawn Dupatta
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 4,990",Black,https://www.alkaramstudio.com/cdn/shop/files/MC-02-25-1-BLACK-1_fced985b-8abe-4551-bd7c-03bc01369cd9.jpg?v=1744970162,https://www.alkaramstudio.com/products/3-piece-printed-maysuri-lawn-suit-with-printed-maysuri-lawn-dupatta-mc-02-25-1-black
"3 Piece Printed Maysuri Lawn Suit With Printed Maysuri Lawn Dupatta
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 4,990",Yellow,https://www.alkaramstudio.com/cdn/shop/files/MC-01-25-1-YELLOW-1_d04b3d6c-ed56-4515-b407-320148569974.jpg?v=1744970151,https://www.alkaramstudio.com/products/3-piece-printed-maysuri-lawn-suit-with-printed-maysuri-lawn-dupatta-mc-01-25-1-yellow
"2 Piece Jacquard Suit With Jacquard Trouser
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 4,890",Purple,https://www.alkaramstudio.com/cdn/shop/files/AC-09-25-1-Purple-1_d1177ee2-ab45-4de4-9a6e-29b1dc1ac830.jpg?v=1744652761,https://www.alkaramstudio.com/products/2-piece-jacquard-suit-with-jacquard-trouser-ac-09-25-1-purple
"3 Piece Jacquard Suit With Jacquard Dupatta
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 6,290",Pink,https://www.alkaramstudio.com/cdn/shop/files/AC-04-25-1-Pink-1_59f5bcfa-2259-4b18-a15b-14e7b660023b.jpg?v=1744652726,https://www.alkaramstudio.com/products/3-piece-jacquard-suit-with-jacquard-dupatta-ac-04-25-1-pink
"1 Piece Printed Lawn Shirt 
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 1,190",Pink,https://www.alkaramstudio.com/cdn/shop/files/SLR10-18-25-2-Pink-1_3b8164c6-cb24-4b83-a3ff-394355a3a513.jpg?v=1744652543,https://www.alkaramstudio.com/products/1-piece-printed-lawn-shirt-slr10-18-25-2-pink
"1 Piece Printed Lawn Shirt 
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 1,190",Maroon,https://www.alkaramstudio.com/cdn/shop/files/SLR10-17-25-2-Maroon-1_96a18532-a9fa-4001-b77c-d455dd078de1.jpg?v=1744652536,https://www.alkaramstudio.com/products/1-piece-printed-lawn-shirt-slr10-17-25-2-maroon
"1 Piece Printed Lawn Shirt 
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 1,190",Dark Turquoise,https://www.alkaramstudio.com/cdn/shop/files/SLR10-16-25-2-Dark_Turquoise-1_0cd5c168-4cf6-4afe-be09-b299b18409fb.jpg?v=1744652532,https://www.alkaramstudio.com/products/1-piece-printed-lawn-shirt-slr10-16-25-2-dark-turquoise
