Name,Price,Color,Image,URL
3 Piece - Embroidered Loungewear - KLS25-08,"Rs. 9,490.00",Black,https://nishatlinen.com/cdn/shop/files/KLS25-08-_4.jpg?v=1738038763&width=720,https://nishatlinen.com/products/kls25-08
2 Piece - Embroidered Loungewear - KLS25-02,"Rs. 6,990.00",Aqua,https://nishatlinen.com/cdn/shop/files/KLS25-02-_2.jpg?v=1738038925&width=720,https://nishatlinen.com/products/kls25-02
2 Piece - Embroidered Loungewear - KLS25-07,"Rs. 6,990.00",Cream,https://nishatlinen.com/cdn/shop/files/KLS25-07-_1.jpg?v=1738038738&width=720,https://nishatlinen.com/products/kls25-07
2 Piece - Basic Loungewear - KLS25-06,"Rs. 5,490.00",Tea Rose,https://nishatlinen.com/cdn/shop/files/KLS25-06-_1.jpg?v=1738038702&width=720,https://nishatlinen.com/products/kls25-06
2 Piece - Basic Loungewear - KLS25-04,"Rs. 5,490.00",Mulberry,https://nishatlinen.com/cdn/shop/files/KLS25-04-_1.jpg?v=1738038630&width=720,https://nishatlinen.com/products/kls25-04
Embroidered Gown - KLS25-11,"Rs. 6,990.00",Grey,https://nishatlinen.com/cdn/shop/files/KLS25-11-_1.jpg?v=1738038860&width=720,https://nishatlinen.com/products/kls25-11
2 Piece - Embroidered Loungewear - KLS25-09,"Rs. 6,990.00",Yellow,https://nishatlinen.com/cdn/shop/files/KLS25-09-_1.jpg?v=1738038790&width=720,https://nishatlinen.com/products/kls25-09
2 Piece - Embroidered Loungewear - KLS25-05,"Rs. 7,990.00",Light Blue,https://nishatlinen.com/cdn/shop/files/KLS25-05-_2.jpg?v=1738038663&width=720,https://nishatlinen.com/products/kls25-05
