Name,Price,Color,Image,URL
Embroidered Shirt - PE25-207,"Rs. 6,990.00",Off White,https://nishatlinen.com/cdn/shop/files/PE25-207-_5.jpg?v=1746425026&width=720,https://nishatlinen.com/products/pe25-207
Embroidered Tunic - PE25-446,"Rs. 3,990.00",Black,https://nishatlinen.com/cdn/shop/files/PE25-446-_1.jpg?v=1746421938&width=720,https://nishatlinen.com/products/pe25-446
Basic Shirt - FE25-14,"Rs. 7,490.00",Green,https://nishatlinen.com/cdn/shop/files/FE25-14-_3.jpg?v=1742367239&width=720,https://nishatlinen.com/products/fe25-14
Embroidered Shirt - PE25-442,"Rs. 3,490.00",Fushia Pink,https://nishatlinen.com/cdn/shop/files/PE25-442-_3.jpg?v=1746395822&width=720,https://nishatlinen.com/products/pe25-442
Embroidered Shirt - PE25-515,"Rs. 5,990.00",Mustard,https://nishatlinen.com/cdn/shop/files/PE25-515-_1.jpg?v=1746395156&width=720,https://nishatlinen.com/products/pe25-515
Printed Embroidered Shirt - PE25-507,"Rs. 5,490.00",Aqua Green,https://nishatlinen.com/cdn/shop/files/PE25-507-_2.jpg?v=1746421257&width=720,https://nishatlinen.com/products/pe25-507
Embroidered Shirt - PE25-277,"Rs. 4,990.00",Olive Green,https://nishatlinen.com/cdn/shop/files/PE25-277-_3.jpg?v=1746421623&width=720,https://nishatlinen.com/products/pe25-277
Printed Embroidered Shirt - PE25-206,"Rs. 4,990.00",Olive Green,https://nishatlinen.com/cdn/shop/files/PE25-206-_1.jpg?v=1746421644&width=720,https://nishatlinen.com/products/pe25-206
Embroidered Shirt - PE25-462,"Rs. 5,990.00",Powder Pink,https://nishatlinen.com/cdn/shop/files/PE25-462-_3.jpg?v=1746422979&width=720,https://nishatlinen.com/products/pe25-462
Embroidered Shirt - PE25-119,"Rs. 5,490.00",Turquoise,https://nishatlinen.com/cdn/shop/files/PE25-119-_4.jpg?v=1746423041&width=720,https://nishatlinen.com/products/pe25-119
Embroidered Shirt - PE25-117,"Rs. 5,490.00",Coral Peach,https://nishatlinen.com/cdn/shop/files/PE25-117-_1.jpg?v=1746507897&width=720,https://nishatlinen.com/products/pe25-117
Embroidered Shirt - PE25-359,"Rs. 3,290.00",Lilac,https://nishatlinen.com/cdn/shop/files/PE25-359-_5.jpg?v=1746422131&width=720,https://nishatlinen.com/products/pe25-359
Embroidered Tunic - PE25-296,"Rs. 3,990.00",Pink,https://nishatlinen.com/cdn/shop/files/PE25-296-_3.jpg?v=1746422145&width=720,https://nishatlinen.com/products/pe25-296
Embroidered Tunic - PE25-229,"Rs. 4,690.00",Beige,https://nishatlinen.com/cdn/shop/files/PE25-229-_6.jpg?v=1746422160&width=720,https://nishatlinen.com/products/pe25-229
Embroidered Tunic - PE25-271,"Rs. 3,990.00",Apple Green,https://nishatlinen.com/cdn/shop/files/PE25-271-_1.jpg?v=1746422058&width=720,https://nishatlinen.com/products/pe25-271
Embroidered Tunic - PE25-295,"Rs. 3,290.00",Beige,https://nishatlinen.com/cdn/shop/files/PE25-295-_6.jpg?v=1746422148&width=720,https://nishatlinen.com/products/pe25-295
Embroidered Tunic - PE25-439,"Rs. 3,990.00",Gold,https://nishatlinen.com/cdn/shop/files/PE25-439-_2.jpg?v=1746422129&width=720,https://nishatlinen.com/products/pe25-439
Embroidered Tunic - PE25-464,"Rs. 4,290.00",Pink,https://nishatlinen.com/cdn/shop/files/PE25-464-_1.jpg?v=1746421923&width=720,https://nishatlinen.com/products/pe25-464
Embroidered Tunic - PE25-301,"Rs. 4,690.00",Green,https://nishatlinen.com/cdn/shop/files/PE25-301-_3.jpg?v=1746422140&width=720,https://nishatlinen.com/products/pe25-301
Printed Jacket - PE25-268,"Rs. 2,990.00",Black,https://nishatlinen.com/cdn/shop/files/PE25-268-_3.jpg?v=1746422068&width=720,https://nishatlinen.com/products/pe25-268
Printed Tunic - PE25-219,"Rs. 3,990.00",Pink,https://nishatlinen.com/cdn/shop/files/PE25-219-_3.jpg?v=1746422164&width=720,https://nishatlinen.com/products/pe25-219
Printed Tunic - PE25-233,"Rs. 2,990.00",Blue,https://nishatlinen.com/cdn/shop/files/PE25-233-_3.jpg?v=1746422157&width=720,https://nishatlinen.com/products/pe25-233
Printed Tunic - PE25-238,"Rs. 3,490.00",Multi,https://nishatlinen.com/cdn/shop/files/PE25-238-_1.jpg?v=1746422079&width=720,https://nishatlinen.com/products/pe25-238
Embroidered Tunic - PE25-349,"Rs. 3,990.00",Teal Green,https://nishatlinen.com/cdn/shop/files/PE25-349-_3.jpg?v=1746422135&width=720,https://nishatlinen.com/products/pe25-349
Embroidered Tunic - PE25-303,"Rs. 3,290.00",Mid Night,https://nishatlinen.com/cdn/shop/files/PE25-303-_7.jpg?v=1746422137&width=720,https://nishatlinen.com/products/pe25-303
Embroidered Tunic - PE25-298,"Rs. 3,990.00",Orange,https://nishatlinen.com/cdn/shop/files/PE25-298-_6.jpg?v=1746422143&width=720,https://nishatlinen.com/products/pe25-298
Printed Tunic - PE25-289,"Rs. 3,490.00",Black,https://nishatlinen.com/cdn/shop/files/PE25-289-_3.jpg?v=1746422048&width=720,https://nishatlinen.com/products/pe25-289
Printed Tunic - PE25-192,"Rs. 2,990.00",Maroon,https://nishatlinen.com/cdn/shop/files/PE25-192-_4.jpg?v=1746422125&width=720,https://nishatlinen.com/products/pe25-192
Embroidered Dress - FE25-51,"Rs. 11,990.00",Blue,https://nishatlinen.com/cdn/shop/files/FE25-51-_3.jpg?v=1742367845&width=720,https://nishatlinen.com/products/fe25-51
Embroidered Tunic - AS25-79,"Rs. 3,990.00",Mango Orange,https://nishatlinen.com/cdn/shop/files/AS25-79-_2.jpg?v=1743225867&width=720,https://nishatlinen.com/products/as25-79
Printed Embroidered Dress - FE25-94,"Rs. 9,990.00",White,https://nishatlinen.com/cdn/shop/files/FE25-94-_3.jpg?v=1743224953&width=720,https://nishatlinen.com/products/fe25-94
Printed Embroidered Shirt - FE25-28,"Rs. 11,990.00",Rose,https://nishatlinen.com/cdn/shop/files/FE25-28-_1.jpg?v=1742367331&width=720,https://nishatlinen.com/products/fe25-28
Printed Shirt - FE25-20,"Rs. 12,990.00",Beige,https://nishatlinen.com/cdn/shop/files/FE25-20-_5.jpg?v=1742367380&width=720,https://nishatlinen.com/products/fe25-20
Basic Shirt - FE25-100,"Rs. 9,490.00",Pale Lilac,https://nishatlinen.com/cdn/shop/files/FE25-100-_4.jpg?v=1743225165&width=720,https://nishatlinen.com/products/fe25-100
Embroidered Shirt - PS25-22,"Rs. 4,490.00",Orange,https://nishatlinen.com/cdn/shop/files/PS25-22-_1_36eabae8-ebb9-4ef0-a0f5-b853f4c7ded7.jpg?v=1737788651&width=720,https://nishatlinen.com/products/ps25-22
Embroidered Tunic - PE25-12,"Rs. 3,990.00",Pink,https://nishatlinen.com/cdn/shop/files/PE25-12-_3.jpg?v=1739512507&width=720,https://nishatlinen.com/products/pe25-12
