Name,Price,Color,Image,Link
Printed Black Chiffon Dupatta (WPS25CD1014),"PKR 1,680",Black,https://bonanzasatrangi.com/cdn/shop/files/WPS25CD1014_5.jpg?v=1746774806,https://bonanzasatrangi.com/products/wps25cd1014
Sky-Blue-Cambric-1 Piece (W25DE1001),"PKR 3,880",Blue,https://bonanzasatrangi.com/cdn/shop/files/W25DE1001_01.jpg?v=1745870145,https://bonanzasatrangi.com/products/w25de1001
Blue-Cotton Net-3 Piece (W25FE3006),"PKR 11,980",Blue,https://bonanzasatrangi.com/cdn/shop/files/W25FE3006_01.jpg?v=1746182840,https://bonanzasatrangi.com/products/w25fe3006
Blue-Cambric-2 Piece (WPS25DE2015),"PKR 5,980",Blue,https://bonanzasatrangi.com/cdn/shop/files/WPS25DE2015_04.jpg?v=1746864299,https://bonanzasatrangi.com/products/wps25de2015
Multi-Lawn-2 Piece (WPS25P2016),"PKR 5,480",Multi,https://bonanzasatrangi.com/cdn/shop/files/WPS25P2016_01.jpg?v=1746864300,https://bonanzasatrangi.com/products/wps25p2016
Blue-Jacquard-2 Piece (WPS25SL2004),"PKR 5,880",Blue,https://bonanzasatrangi.com/cdn/shop/files/WPS25SL2004_01.jpg?v=1746864302,https://bonanzasatrangi.com/products/wps25sl2004
D-Blue-Cambric-3 Piece (WPS25P3011),"PKR 7,980",Blue,https://bonanzasatrangi.com/cdn/shop/files/WPS25P3011_01.jpg?v=1746185122,https://bonanzasatrangi.com/products/wps25p3011
D-Blue-Cambric-2 Piece (WPS25SE2031),"PKR 6,180",Blue,https://bonanzasatrangi.com/cdn/shop/files/WPS25SE2031_03.jpg?v=1746864303,https://bonanzasatrangi.com/products/wps25se2031
S-Green-Dobby-2 Piece (W25SE2006),"PKR 5,980",Green,https://bonanzasatrangi.com/cdn/shop/files/W25SE2006_2.jpg?v=1746864305,https://bonanzasatrangi.com/products/w25se2006
Black-Lawn-3 Piece (WPS25P3042),"PKR 7,980",Black,https://bonanzasatrangi.com/cdn/shop/files/WPS25P3042_01.jpg?v=1746185122,https://bonanzasatrangi.com/products/wps25p3042
Magenta-Cambric-3 Piece (W25SE3005),"PKR 9,480",Magenta,https://bonanzasatrangi.com/cdn/shop/files/W25SE3005_03.jpg?v=1746182929,https://bonanzasatrangi.com/products/w25se3005
Lilac-Jacquard-2 Piece (WP2PSFS25N04),"PKR 9,580",Lilac,https://bonanzasatrangi.com/cdn/shop/files/WP2PSFS25N04_01.jpg?v=1746864307,https://bonanzasatrangi.com/products/wp2psfs25n04
Pink-Jacquard-2 Piece (W25SE2065),"PKR 5,580",Pink,https://bonanzasatrangi.com/cdn/shop/files/W25SE2065_01.jpg?v=1746864308,https://bonanzasatrangi.com/products/w25se2065
Chrome-Cambric-2 Piece (W25SE2066),"PKR 5,880",Chrome,https://bonanzasatrangi.com/cdn/shop/files/W25SE2066_01.jpg?v=1746864309,https://bonanzasatrangi.com/products/w25se2066
Beige-Cambric-3 Piece (WU25P3009),"PKR 7,980",Beige,https://bonanzasatrangi.com/cdn/shop/files/WU25P3009_3.jpg?v=1745820899,https://bonanzasatrangi.com/products/wu25p3009
Beige-Silk-3 Piece (PWS5243P11),"PKR 10,980",Beige,https://bonanzasatrangi.com/cdn/shop/files/PWS5243P11_3.jpg?v=1745820451,https://bonanzasatrangi.com/products/pws5243p11
